Success?,Film,Production Co.,Total Earnings,Total Theaters,Opening.Box.Office,Opening Theaters,Release,Release Month,Close,Rating,Budget,Genre,ReleaseSeason,SimplifiedGenre,PG,PG-13,R,Summer,Holiday,Other,Action,SciFi/Fantasy,Romance,Animation,Comedy,Drama,Western,Musical,Thriller/Horror,Documentary
1,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737 ","4,070","$141,067,634 ","4,070",12-Nov,Nov,7-Mar,13,"$120,000,000 ",Romance,Holiday,Romance,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
0,Total Recall (2012),Sony,"$58,877,969 ","3,601","$25,577,758 ","3,601",12-Aug,Aug,7-Oct,13,"$125,000,000 ",Si Fi Action,Summer,SciFi/Fantasy,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
0,The Bourne Legacy,Uni.,"$113,203,870 ","3,753","$38,142,825 ","3,745",12-Aug,Aug,8-Nov,13,"$125,000,000 ",Action,Summer,Action,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Prometheus,Fox,"$126,477,084 ","3,442","$51,050,101 ","3,396",12-Jun,Jun,20-Sep,R,"$130,000,000 ",Sci Fi Action,Summer,SciFi/Fantasy,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
0,Rise of the Guardians,P/DW,"$103,412,758 ","3,672","$23,773,465 ","3,653",12-Nov,Nov,11-Apr,PG,"$145,000,000 ",Animation,Holiday,Animation,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
0,Madagascar 3: Europe's Most Wanted,P/DW,"$216,391,482 ","4,263","$60,316,738 ","4,258",12-Jun,Jun,18-Oct,PG,"$145,000,000 ",Animation,Summer,Animation,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
0,Dark Shadows,WB,"$79,727,149 ","3,755","$29,685,274 ","3,755",12-May,May,16-Aug,13,"$150,000,000 ",Horror Comedy,Other,Thriller/Horror,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,Wrath of the Titans,WB,"$83,670,083 ","3,545","$33,457,188 ","3,545",12-Mar,Mar,28-Jun,13,"$150,000,000 ",Fantasy,Other,SciFi/Fantasy,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
0,Wreck-It Ralph,BV,"$189,422,889 ","3,752","$49,038,712 ","3,752",12-Nov,Nov,2-May,PG,"$165,000,000 ",Animation,Holiday,Animation,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
0,Snow White and the Huntsman,Uni.,"$155,332,381 ","3,777","$56,217,700 ","3,773",12-Jun,Jun,6-Sep,13,"$170,000,000 ",Adventure,Summer,Action,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,The Hobbit: An Unexpected Journey,WB,"$303,003,568 ","4,100","$84,617,303 ","4,045",12-Dec,Dec,25-Apr,13,"$180,000,000 ",Fantasy,Holiday,SciFi/Fantasy,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
0,Brave,BV,"$237,283,207 ","4,164","$66,323,594 ","4,164",12-Jun,Jun,18-Jan,PG,"$185,000,000 ",Animation,Summer,Animation,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
1,Skyfall,Sony,"$304,360,277 ","3,526","$88,364,714 ","3,505",12-Nov,Nov,10-Mar,13,"$200,000,000 ",Action,Holiday,Action,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Battleship,Uni.,"$65,422,625 ","3,702","$25,534,825 ","3,690",12-May,May,2-Aug,13,"$209,000,000 ",Action,Other,Action,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,Marvel's The Avengers,BV,"$623,357,910 ","4,349","$207,438,708 ","4,349",12-May,May,4-Oct,13,"$220,000,000 ",Action/Adventure,Other,Action,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,MIB 3,Sony,"$179,020,854 ","4,248","$54,592,779 ","4,248",12-May,May,9-Sep,13,"$225,000,000 ",Sci Fi Comedy,Other,SciFi/Fantasy,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
0,The Amazing Spider-Man,Sony,"$262,030,663 ","4,318","$62,004,688 ","4,318",12-Jul,Jul,14-Oct,13,"$230,000,000 ",Action/Adventure,Summer,Action,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,John Carter,BV,"$73,078,100 ","3,749","$30,180,188 ","3,749",12-Mar,Mar,28-Jun,13,"$250,000,000 ",Sci Fi Adventures,Other,SciFi/Fantasy,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
1,The Dark Knight Rises,WB,"$448,139,099 ","4,404","$160,887,295 ","4,404",12-Jul,Jul,13-Dec,13,"$250,000,000 ",Action/Thriller,Summer,Action,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
